ID, Date_n, Time_n, Date, Time, Channel_N-S, Amplitude_N-S, Channel_W-E, Amplitude_W-E
1, 20181101, 000120, 01.11.2018, 00:01:20, 11, 396, 5, 274
2, 20181101, 000130, 01.11.2018, 00:01:30, 0, 0, 0, 0
3, 20181101, 000140, 01.11.2018, 00:01:40, 0, 0, 0, 0
4, 20181101, 000150, 01.11.2018, 00:01:50, 8, 235, 1, 211
5, 20181101, 000200, 01.11.2018, 00:02:00, 7, 210, 6, 238
6, 20181101, 000210, 01.11.2018, 00:02:10, 0, 0, 4, 389
7, 20181101, 000220, 01.11.2018, 00:02:20, 2, 226, 2, 213
8, 20181101, 000230, 01.11.2018, 00:02:30, 0, 0, 0, 0
9, 20181101, 000240, 01.11.2018, 00:02:40, 0, 0, 0, 0
10, 20181101, 000250, 01.11.2018, 00:02:50, 0, 0, 0, 0
11, 20181101, 000300, 01.11.2018, 00:03:00, 4, 202, 9, 246
12, 20181101, 000310, 01.11.2018, 00:03:10, 0, 0, 0, 0
13, 20181101, 000320, 01.11.2018, 00:03:20, 2, 213, 0, 0
14, 20181101, 000330, 01.11.2018, 00:03:30, 0, 0, 0, 0
15, 20181101, 000340, 01.11.2018, 00:03:40, 0, 0, 1, 203
16, 20181101, 000350, 01.11.2018, 00:03:50, 9, 486, 1, 206
17, 20181101, 000400, 01.11.2018, 00:04:00, 0, 0, 0, 0
18, 20181101, 000410, 01.11.2018, 00:04:10, 0, 0, 0, 0
19, 20181101, 000420, 01.11.2018, 00:04:20, 2, 367, 0, 0
20, 20181101, 000430, 01.11.2018, 00:04:30, 0, 0, 6, 207
21, 20181101, 000440, 01.11.2018, 00:04:40, 0, 0, 1, 200
22, 20181101, 000450, 01.11.2018, 00:04:50, 0, 0, 0, 0
23, 20181101, 000500, 01.11.2018, 00:05:00, 0, 0, 0, 0
24, 20181101, 000510, 01.11.2018, 00:05:10, 2, 306, 3, 252
25, 20181101, 000520, 01.11.2018, 00:05:20, 0, 0, 0, 0
26, 20181101, 000530, 01.11.2018, 00:05:30, 0, 0, 0, 0
27, 20181101, 000540, 01.11.2018, 00:05:40, 1, 200, 5, 210
28, 20181101, 000550, 01.11.2018, 00:05:50, 0, 0, 0, 0
29, 20181101, 000600, 01.11.2018, 00:06:00, 0, 0, 7, 257
30, 20181101, 000610, 01.11.2018, 00:06:10, 4, 488, 4, 256
31, 20181101, 000620, 01.11.2018, 00:06:20, 2, 220, 0, 0
32, 20181101, 000630, 01.11.2018, 00:06:30, 3, 248, 0, 0
33, 20181101, 000640, 01.11.2018, 00:06:40, 5, 364, 0, 0
34, 20181101, 000650, 01.11.2018, 00:06:50, 0, 0, 2, 210
35, 20181101, 000700, 01.11.2018, 00:07:00, 0, 0, 0, 0
36, 20181101, 000710, 01.11.2018, 00:07:10, 0, 0, 4, 216
37, 20181101, 000720, 01.11.2018, 00:07:20, 4, 243, 0, 0
38, 20181101, 000730, 01.11.2018, 00:07:30, 0, 0, 0, 0
39, 20181101, 000740, 01.11.2018, 00:07:40, 0, 0, 1, 200
40, 20181101, 000750, 01.11.2018, 00:07:50, 0, 0, 0, 0
41, 20181101, 000800, 01.11.2018, 00:08:00, 0, 0, 1, 222
42, 20181101, 000810, 01.11.2018, 00:08:10, 0, 0, 0, 0
