ID, Date_n, Time_n, Date, Time, Channel_N-S, Amplitude_N-S, Channel_W-E, Amplitude_W-E
0, 20190115, 000150, 15.01.2019, 00:01:50, 2, 214, 12, 216
1, 20190115, 000200, 15.01.2019, 00:02:00, 0, 0, 0, 0
2, 20190115, 000210, 15.01.2019, 00:02:10, 7, 276, 0, 0
3, 20190115, 000220, 15.01.2019, 00:02:20, 3, 243, 10, 530
4, 20190115, 000230, 15.01.2019, 00:02:30, 1, 210, 7, 294
5, 20190115, 000240, 15.01.2019, 00:02:40, 7, 456, 6, 367
6, 20190115, 000250, 15.01.2019, 00:02:50, 0, 0, 10, 201
7, 20190115, 000300, 15.01.2019, 00:03:00, 2, 224, 2, 242
8, 20190115, 000310, 15.01.2019, 00:03:10, 0, 0, 0, 0
9, 20190115, 000320, 15.01.2019, 00:03:20, 0, 0, 0, 0
10, 20190115, 000330, 15.01.2019, 00:03:30, 10, 328, 35, 375
11, 20190115, 000340, 15.01.2019, 00:03:40, 0, 0, 3, 208
12, 20190115, 000350, 15.01.2019, 00:03:50, 0, 0, 8, 522
13, 20190115, 000400, 15.01.2019, 00:04:00, 1, 223, 3, 285
14, 20190115, 000410, 15.01.2019, 00:04:10, 3, 265, 8, 501
15, 20190115, 000420, 15.01.2019, 00:04:20, 0, 0, 0, 0
16, 20190115, 000430, 15.01.2019, 00:04:30, 5, 343, 10, 210
17, 20190115, 000440, 15.01.2019, 00:04:40, 3, 207, 0, 0
18, 20190115, 000450, 15.01.2019, 00:04:50, 0, 0, 0, 0
19, 20190115, 000500, 15.01.2019, 00:05:00, 2, 222, 0, 0
20, 20190115, 000510, 15.01.2019, 00:05:10, 0, 0, 0, 0
21, 20190115, 000520, 15.01.2019, 00:05:20, 2, 213, 10, 205
22, 20190115, 000530, 15.01.2019, 00:05:30, 8, 373, 7, 299
23, 20190115, 000540, 15.01.2019, 00:05:40, 2, 223, 0, 0
24, 20190115, 000550, 15.01.2019, 00:05:50, 0, 0, 0, 0
25, 20190115, 000600, 15.01.2019, 00:06:00, 4, 348, 8, 428
26, 20190115, 000610, 15.01.2019, 00:06:10, 0, 0, 0, 0
27, 20190115, 000620, 15.01.2019, 00:06:20, 7, 427, 6, 319
28, 20190115, 000630, 15.01.2019, 00:06:30, 0, 0, 2, 217
29, 20190115, 000640, 15.01.2019, 00:06:40, 0, 0, 0, 0
30, 20190115, 000650, 15.01.2019, 00:06:50, 0, 0, 16, 285
31, 20190115, 000700, 15.01.2019, 00:07:00, 1, 241, 0, 0
32, 20190115, 000710, 15.01.2019, 00:07:10, 0, 0, 0, 0
33, 20190115, 000720, 15.01.2019, 00:07:20, 3, 216, 13, 1162
34, 20190115, 000730, 15.01.2019, 00:07:30, 0, 0, 0, 0
35, 20190115, 000740, 15.01.2019, 00:07:40, 3, 327, 0, 0
36, 20190115, 000750, 15.01.2019, 00:07:50, 0, 0, 8, 577
37, 20190115, 000800, 15.01.2019, 00:08:00, 0, 0, 14, 569
38, 20190115, 000810, 15.01.2019, 00:08:10, 0, 0, 6, 367
39, 20190115, 000820, 15.01.2019, 00:08:20, 6, 290, 0, 0
40, 20190115, 000830, 15.01.2019, 00:08:30, 0, 0, 0, 0
41, 20190115, 000840, 15.01.2019, 00:08:40, 3, 237, 4, 263
42, 20190115, 000850, 15.01.2019, 00:08:50, 0, 0, 0, 0
43, 20190115, 000900, 15.01.2019, 00:09:00, 3, 251, 0, 0
44, 20190115, 000910, 15.01.2019, 00:09:10, 6, 205, 0, 0
45, 20190115, 000920, 15.01.2019, 00:09:20, 0, 0, 0, 0
46, 20190115, 000930, 15.01.2019, 00:09:30, 5, 325, 4, 252
47, 20190115, 000940, 15.01.2019, 00:09:40, 0, 0, 0, 0
48, 20190115, 000950, 15.01.2019, 00:09:50, 5, 208, 12, 845
49, 20190115, 001000, 15.01.2019, 00:10:00, 0, 0, 0, 0
50, 20190115, 001010, 15.01.2019, 00:10:10, 3, 288, 0, 0
51, 20190115, 001020, 15.01.2019, 00:10:20, 0, 0, 0, 0
52, 20190115, 001030, 15.01.2019, 00:10:30, 0, 0, 9, 331
53, 20190115, 001040, 15.01.2019, 00:10:40, 0, 0, 0, 0
54, 20190115, 001050, 15.01.2019, 00:10:50, 0, 0, 0, 0
55, 20190115, 001100, 15.01.2019, 00:11:00, 5, 293, 2, 251
56, 20190115, 001110, 15.01.2019, 00:11:10, 1, 216, 9, 613
57, 20190115, 001120, 15.01.2019, 00:11:20, 2, 222, 0, 0
58, 20190115, 001130, 15.01.2019, 00:11:30, 2, 231, 10, 1053
59, 20190115, 001140, 15.01.2019, 00:11:40, 0, 0, 0, 0
60, 20190115, 001150, 15.01.2019, 00:11:50, 0, 0, 0, 0
61, 20190115, 001200, 15.01.2019, 00:12:00, 4, 276, 6, 409
62, 20190115, 001210, 15.01.2019, 00:12:10, 12, 322, 9, 213
63, 20190115, 001220, 15.01.2019, 00:12:20, 0, 0, 3, 243
64, 20190115, 001230, 15.01.2019, 00:12:30, 0, 0, 1, 243
65, 20190115, 001240, 15.01.2019, 00:12:40, 5, 325, 3, 270
66, 20190115, 001250, 15.01.2019, 00:12:50, 6, 217, 5, 239
67, 20190115, 001300, 15.01.2019, 00:13:00, 7, 460, 2, 278
68, 20190115, 001310, 15.01.2019, 00:13:10, 0, 0, 0, 0
